tanggal ,komoditi,satuan,harga
2018-10-24,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-25,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-26,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-29,Susu Bubuk Kaleng Merk Indomilk,buah,42425
2018-10-30,Susu Bubuk Kaleng Merk Indomilk,buah,42575
2018-10-31,Susu Bubuk Kaleng Merk Indomilk,buah,42700
2018-10-01,Jagung Pipilan Kecil,Kg,15900
2018-10-02,Jagung Pipilan Kecil,Kg,15900
2018-10-03,Jagung Pipilan Kecil,Kg,15900
2018-10-04,Jagung Pipilan Kecil,Kg,15900
2018-10-05,Jagung Pipilan Kecil,Kg,15900
2018-10-08,Jagung Pipilan Kecil,Kg,15900
2018-10-09,Jagung Pipilan Kecil,Kg,15900
2018-10-10,Jagung Pipilan Kecil,Kg,15900
2018-10-11,Jagung Pipilan Kecil,Kg,15900
2018-10-12,Jagung Pipilan Kecil,Kg,15900
2018-10-15,Jagung Pipilan Kecil,Kg,15900
2018-10-16,Jagung Pipilan Kecil,Kg,15900
2018-10-17,Jagung Pipilan Kecil,Kg,15900
2018-10-18,Jagung Pipilan Kecil,Kg,15900
2018-10-19,Jagung Pipilan Kecil,Kg,15900
2018-10-22,Jagung Pipilan Kecil,Kg,15900
2018-10-23,Jagung Pipilan Kecil,Kg,15900
2018-10-24,Jagung Pipilan Kecil,Kg,15900
2018-10-25,Jagung Pipilan Kecil,Kg,15900
2018-10-26,Jagung Pipilan Kecil,Kg,15900
2018-10-29,Jagung Pipilan Kecil,Kg,15900
2018-10-30,Jagung Pipilan Kecil,Kg,14167
2018-10-31,Jagung Pipilan Kecil,Kg,14167
2018-10-01,Garam Beryodium Bata,250 gr,3640
2018-10-02,Garam Beryodium Bata,250 gr,3660
2018-10-03,Garam Beryodium Bata,250 gr,3660
2018-10-04,Garam Beryodium Bata,250 gr,3680
2018-10-05,Garam Beryodium Bata,250 gr,3660
2018-10-08,Garam Beryodium Bata,250 gr,3840
2018-10-09,Garam Beryodium Bata,250 gr,3660
2018-10-10,Garam Beryodium Bata,250 gr,3740
2018-10-11,Garam Beryodium Bata,250 gr,3660
2018-10-12,Garam Beryodium Bata,250 gr,3840
